Country,Year,Value
Australia,1990,438056.76
Australia,1991,438049.29
Australia,1992,441752.18
Australia,1993,442282.48
Australia,1994,442610.56
Australia,1995,451076.46
Australia,1996,457574.99
Australia,1997,469835.69
Australia,1998,484037.12
Australia,1999,489971.16
Australia,2000,501588.99
Australia,2001,509456.08
Australia,2002,513171.01
Australia,2003,511714.21
Australia,2004,528827.43
Australia,2005,535589.76
Australia,2006,540017.78
Australia,2007,546739.52
Australia,2008,549128.82
Australia,2009,552127.35
Australia,2010,547172.76
Australia,2011,549007.35
Australia,2012,552305.55
Australia,2013,543798.68
Australia,2014,535451.44
Australia,2015,544231.81
Australia,2016,552354.83
Australia,2017,559581.11
Australia,2018,560827.41
Australia,2019,555244.93
Australia,2020,536739.72
Australia,2021,528631.65
Australia,1990,100
Australia,1991,99.998
Australia,1992,100.844
Australia,1993,100.965
Australia,1994,101.04
Australia,1995,102.972
Australia,1996,104.456
Australia,1997,107.255
Australia,1998,110.496
Australia,1999,111.851
Australia,2000,114.503
Australia,2001,116.299
Australia,2002,117.147
Australia,2003,116.815
Australia,2004,120.721
Australia,2005,122.265
Australia,2006,123.276
Australia,2007,124.81
Australia,2008,125.356
Australia,2009,126.04
Australia,2010,124.909
Australia,2011,125.328
Australia,2012,126.081
Australia,2013,124.139
Australia,2014,122.233
Australia,2015,124.238
Australia,2016,126.092
Australia,2017,127.742
Australia,2018,128.026
Australia,2019,126.752
Australia,2020,122.527
Australia,2021,120.677
Australia,1990,25.67
Australia,1991,25.344
Australia,1992,25.274
Australia,1993,25.08
Australia,1994,24.858
Australia,1995,25.053
Australia,1996,25.107
Australia,1997,25.503
Australia,1998,26.013
Australia,1999,26.045
Australia,2000,26.359
Australia,2001,26.431
Australia,2002,26.323
Australia,2003,25.948
Australia,2004,26.531
Australia,2005,26.545
Australia,2006,26.405
Australia,2007,26.251
Australia,2008,25.842
Australia,2009,25.453
Australia,2010,24.836
Australia,2011,24.575
Australia,2012,24.295
Australia,2013,23.512
Australia,2014,22.809
Australia,2015,22.852
Australia,2016,22.833
Australia,2017,22.745
Australia,2018,22.449
Australia,2019,21.89
Australia,2020,20.89
Australia,2021,20.539
Australia,1990,278160.27
Australia,1991,279534.03
Australia,1992,284528.77
Australia,1993,288873.51
Australia,1994,293700.92
Australia,1995,305055.59
Australia,1996,311940.49
Australia,1997,320332.76
Australia,1998,334135.55
Australia,1999,343959.21
Australia,2000,350007.7
Australia,2001,357783.39
Australia,2002,362536.53
Australia,2003,369441.74
Australia,2004,382873.45
Australia,2005,386205.38
Australia,2006,392436.33
Australia,2007,399676.26
Australia,2008,404255.7
Australia,2009,407477.16
Australia,2010,405512.17
Australia,2011,404256.79
Australia,2012,406579.73
Australia,2013,399288.01
Australia,2014,393049.37
Australia,2015,401378.36
Australia,2016,410253.59
Australia,2017,413655.46
Australia,2018,415350.72
Australia,2019,415811.27
Australia,2020,399405.5
Australia,2021,388777.53
Australia,1990,140149.43
Australia,1991,139103.31
Australia,1992,138028.61
Australia,1993,134529.86
Australia,1994,131341.09
Australia,1995,129738.15
Australia,1996,128974.72
Australia,1997,132163.21
Australia,1998,131972.99
Australia,1999,127862.47
Australia,2000,132216.59
Australia,2001,131162.52
Australia,2002,129343.35
Australia,2003,121551.4
Australia,2004,123216.54
Australia,2005,125777.26
Australia,2006,124654.13
Australia,2007,125065.3
Australia,2008,122148.67
Australia,2009,120768.26
Australia,2010,117387.55
Australia,2011,119118.78
Australia,2012,119488.41
Australia,2013,119059.3
Australia,2014,115962.82
Australia,2015,116479.08
Australia,2016,115338.57
Australia,2017,117465.13
Australia,2018,118013.43
Australia,2019,111602.97
Australia,2020,109758.73
Australia,2021,109934.74
Australia,1990,14182.54
Australia,1991,13824.71
Australia,1992,13671.6
Australia,1993,14078.64
Australia,1994,14455.67
Australia,1995,13717.7
Australia,1996,14837.94
Australia,1997,15533.34
Australia,1998,15580.52
Australia,1999,16002.33
Australia,2000,16837.69
Australia,2001,17116.33
Australia,2002,17565.42
Australia,2003,16538.91
Australia,2004,18032.93
Australia,2005,18093.91
Australia,2006,18008.88
Australia,2007,16587.02
Australia,2008,16870
Australia,2009,17266.46
Australia,2010,17149.19
Australia,2011,17829.27
Australia,2012,18037.35
Australia,2013,16979.99
Australia,2014,17319.9
Australia,2015,16757.11
Australia,2016,16734.45
Australia,2017,18236.68
Australia,2018,17209.69
Australia,2019,16727.65
Australia,2020,16274.31
Australia,2021,18060.12
Australia,1990,1193.65
Australia,1991,1193.65
Australia,1992,1116.99
Australia,1993,1533.14
Australia,1994,861.51
Australia,1995,862.28
Australia,1996,255.36
Australia,1997,426.82
Australia,1998,607.02
Australia,1999,904.92
Australia,2000,1150.49
Australia,2001,1547.72
Australia,2002,1939.88
Australia,2003,2431.44
Australia,2004,2925.33
Australia,2005,3699.51
Australia,2006,4108.71
Australia,2007,4706.38
Australia,2008,5286.32
Australia,2009,6141.55
Australia,2010,6735.33
Australia,2011,7409.83
Australia,2012,7816.42
Australia,2013,8187.26
Australia,2014,8837.37
Australia,2015,9343.46
Australia,2016,9705.24
Australia,2017,9922.29
Australia,2018,9891.61
Australia,2019,10688.48
Australia,2020,10949.19
Australia,2021,11405.41
Australia,1990,4143.53
Australia,1991,4146.89
Australia,1992,4140.18
Australia,1993,2981.97
Australia,1994,1946.68
Australia,1995,1376.83
Australia,1996,1268.5
Australia,1997,1104.59
Australia,1998,1493.46
Australia,1999,1024.47
Australia,2000,1157.58
Australia,2001,1620.61
Australia,2002,1553.82
Australia,2003,1514.57
Australia,2004,1541.43
Australia,2005,1611.45
Australia,2006,617.94
Australia,2007,524.06
Australia,2008,399.8
Australia,2009,322.43
Australia,2010,254.73
Australia,2011,270.9
Australia,2012,265.13
Australia,2013,172.62
Australia,2014,173.11
Australia,2015,154.06
Australia,2016,202.25
Australia,2017,182.65
Australia,2018,212.24
Australia,2019,273.5
Australia,2020,243.12
Australia,2021,291.48
Australia,1990,227.33
Australia,1991,246.69
Australia,1992,266.04
Australia,1993,285.37
Australia,1994,304.68
Australia,1995,325.92
Australia,1996,297.97
Australia,1997,274.96
Australia,1998,247.58
Australia,1999,217.78
Australia,2000,218.95
Australia,2001,225.51
Australia,2002,232.01
Australia,2003,236.15
Australia,2004,237.75
Australia,2005,202.24
Australia,2006,191.78
Australia,2007,180.5
Australia,2008,168.34
Australia,2009,151.51
Australia,2010,133.79
Australia,2011,121.78
Australia,2012,118.51
Australia,2013,111.49
Australia,2014,108.88
Australia,2015,119.74
Australia,2016,120.72
Australia,2017,118.9
Australia,2018,149.73
Australia,2019,141.06
Australia,2020,108.87
Australia,2021,162.36
Austria,1990,79047.23
Austria,1991,82711.16
Austria,1992,76142.81
Austria,1993,76517.86
Austria,1994,76725.97
Austria,1995,79953.24
Austria,1996,83112.93
Austria,1997,82719.63
Austria,1998,82012.9
Austria,1999,80455.15
Austria,2000,80619.36
Austria,2001,84514.05
Austria,2002,86267.54
Austria,2003,91636.3
Austria,2004,91427.9
Austria,2005,92588.58
Austria,2006,90158.67
Austria,2007,87377.95
Austria,2008,86770.82
Austria,2009,80137.03
Austria,2010,84693.29
Austria,2011,82505.76
Austria,2012,79788.32
Austria,2013,80228.52
Austria,2014,76662.66
Austria,2015,78884.46
Austria,2016,79821.26
Austria,2017,82132.49
Austria,2018,78854.37
Austria,2019,79994.14
Austria,2020,73910.84
Austria,2021,77532.35
Austria,1990,100
Austria,1991,104.635
Austria,1992,96.326
Austria,1993,96.8
Austria,1994,97.063
Austria,1995,101.146
Austria,1996,105.143
Austria,1997,104.646
Austria,1998,103.752
Austria,1999,101.781
Austria,2000,101.989
Austria,2001,106.916
Austria,2002,109.134
Austria,2003,115.926
Austria,2004,115.662
Austria,2005,117.131
Austria,2006,114.057
Austria,2007,110.539
Austria,2008,109.771
Austria,2009,101.379
Austria,2010,107.143
Austria,2011,104.375
Austria,2012,100.938
Austria,2013,101.494
Austria,2014,96.983
Austria,2015,99.794
Austria,2016,100.979
Austria,2017,103.903
Austria,2018,99.756
Austria,2019,101.198
Austria,2020,93.502
Austria,2021,98.084
Austria,1990,10.295
Austria,1991,10.666
Austria,1992,9.711
Austria,1993,9.679
Austria,1994,9.668
Austria,1995,10.059
Austria,1996,10.443
Austria,1997,10.381
Austria,1998,10.281
Austria,1999,10.067
Austria,2000,10.063
Austria,2001,10.509
Austria,2002,10.674
Austria,2003,11.288
Austria,2004,11.191
Austria,2005,11.257
Austria,2006,10.905
Austria,2007,10.534
Austria,2008,10.427
Austria,2009,9.607
Austria,2010,10.129
Austria,2011,9.836
Austria,2012,9.469
Austria,2013,9.464
Austria,2014,8.973
Austria,2015,9.141
Austria,2016,9.133
Austria,2017,9.338
Austria,2018,8.922
Austria,2019,9.011
Austria,2020,8.289
Austria,2021,8.661
Austria,1990,62167.16
Austria,1991,65765.66
Austria,1992,60266.15
